cluster,month,start,drop_rate,decline_hr,depth,pressure_start,flattening,slope_early,slope_late,orp_crash
0,2026-04,2026-04-27 22:32,0.01107,33.42,0.37,1.08,0.00299,0.01257,0.00958,555.3
0,2026-04,2026-04-29 08:59,0.01049,27.63,0.29,1.08,0.00216,0.01157,0.00941,560.8
0,2026-04,2026-04-30 13:06,0.00928,40.94,0.38,1.09,0.00194,0.01025,0.00831,541.4
0,2026-05,2026-05-02 07:09,0.00905,42.0,0.38,1.09,0.00284,0.01047,0.00763,569.5
0,2026-05,2026-05-04 02:19,0.00859,43.1,0.37,1.08,0.00232,0.00975,0.00743,552.1
0,2026-05,2026-05-05 21:59,0.00872,43.58,0.38,1.09,0.00182,0.00963,0.00781,375.9
0,2026-05,2026-05-07 20:06,0.03241,12.96,0.42,1.09,-0.04021,0.01233,0.05254,1145.0
0,2026-07,2026-07-01 13:19,0.00953,25.19,0.24,0.95,-0.00638,0.00634,0.01272,442.0
0,2026-07,2026-07-02 15:46,0.01796,21.72,0.39,1.19,-0.01387,0.01103,0.0249,482.1
1,2026-07,2026-07-03 14:15,0.44963,0.67,0.3,0.87,-1.12684,-0.08565,1.04119,305.6
0,2026-07,2026-07-03 15:20,0.0201,23.89,0.48,1.19,0.03009,0.03512,0.00503,285.7
0,2026-07,2026-07-04 17:16,0.00561,85.54,0.48,1.19,0.0028,0.00701,0.00421,477.6
0,2026-07,2026-07-08 08:35,0.02367,1.27,0.03,0.76,0.01579,0.03157,0.01578,453.9
0,2026-07,2026-07-08 10:39,0.03747,12.01,0.45,1.16,0.00146,0.0382,0.03674,408.1
0,2026-07,2026-07-08 22:42,0.04275,10.06,0.43,1.15,0.0098,0.04764,0.03784,537.9
0,2026-07,2026-07-09 09:38,0.02484,24.15,0.6,0.83,0.01159,0.03064,0.01905,579.0
0,2026-07,2026-07-10 11:02,0.0424,10.14,0.43,1.15,0.02536,0.05504,0.02968,526.1
0,2026-07,2026-07-10 22:02,0.03382,13.01,0.44,1.16,0.00922,0.03843,0.02921,546.2
0,2026-07,2026-07-11 11:10,0.01778,43.87,0.78,1.13,0.01547,0.02551,0.01004,559.4
0,2026-07,2026-07-13 09:09,0.0547,4.75,0.26,1.19,0.04168,0.07547,0.03379,548.9
1,2026-07,2026-07-13 13:58,1.14043,0.85,0.97,1.16,-2.23236,0.04612,2.27848,527.2
0,2026-07,2026-07-13 15:12,0.04618,0.43,0.02,1.19,-0.00018,0.04609,0.04627,480.4
0,2026-07,2026-07-14 14:22,0.08932,2.35,0.21,1.17,-0.06086,0.05911,0.11997,478.2
0,2026-07,2026-07-23 14:51,0.02088,11.98,0.25,1.17,0.00132,0.02153,0.02021,528.9
0,2026-07,2026-07-24 03:51,0.02004,11.98,0.24,1.17,0.00668,0.02338,0.0167,564.1
0,2026-07,2026-07-24 16:50,0.01847,12.99,0.24,1.17,0.00304,0.01999,0.01695,581.5
0,2026-07,2026-07-25 06:51,0.01791,13.96,0.25,1.17,0.00139,0.0186,0.01721,572.0
0,2026-07,2026-07-25 21:51,0.01682,14.86,0.25,1.17,0.004,0.01882,0.01482,568.4
0,2026-07,2026-07-26 12:51,0.01669,14.98,0.25,1.17,0.00097,0.01717,0.0162,556.6
0,2026-07,2026-07-27 04:49,0.02498,4.0,0.1,1.17,0.01,0.02998,0.01998,555.6
