time,batch,cond,f_H2,dP_dt,dORP_dt,dpH_dt,A,A_hat,cycle_rate
2026-01-09 00:00,0109-0123_H2_1CO2_1,1:1,0.5,0.02654,0.522,0.04365,19.67,0.051,0.02101
2026-01-09 05:22,0109-0123_H2_1CO2_1,1:1,0.5,0.04306,16.762,0.00193,389.29,1.000,0.01385
2026-01-10 22:01,0109-0123_H2_1CO2_1,1:1,0.5,0.02551,10.341,0.02360,405.39,1.041,0.00840
2026-01-13 09:35,0109-0123_H2_1CO2_1,1:1,0.5,0.04219,-0.477,-0.01679,-11.30,-0.029,0.00979
2026-01-15 19:49,0109-0123_H2_1CO2_1,1:1,0.5,0.03713,5.043,0.00032,135.81,0.349,0.00890
2026-01-18 12:03,0109-0123_H2_1CO2_1,1:1,0.5,0.02513,60.867,-0.00225,2422.17,6.222,0.00685
2026-01-20 21:02,0109-0123_H2_1CO2_1,1:1,0.5,0.04171,64.016,0.02308,1534.89,3.943,0.00868
2026-03-01 00:00,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01856,-2.077,0.00699,-111.91,-0.339,0.01278
2026-03-01 17:14,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02054,-0.358,0.00070,-17.41,-0.053,0.01438
2026-03-02 18:59,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02006,6.204,-0.00054,309.29,0.936,0.03590
2026-03-03 13:42,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01686,33.089,-0.00221,1962.85,5.938,0.01608
2026-03-03 22:26,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02694,0.628,0.02338,23.32,0.071,0.01650
2026-03-04 20:17,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02295,5.704,0.00463,248.61,0.752,0.01559
2026-03-05 19:24,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02148,8.708,0.00154,405.40,1.227,0.01569
2026-03-06 19:39,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02121,9.112,-0.00068,429.51,1.299,0.01428
2026-03-07 20:54,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02076,1.137,0.00192,54.75,0.166,0.01394
2026-03-08 23:28,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01237,15.685,0.00411,1267.52,3.835,0.01168
2026-03-10 03:44,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01873,12.371,-0.02673,660.59,1.999,0.04342
2026-03-10 15:59,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01637,7.453,-0.00148,455.17,1.377,0.01503
2026-03-11 04:39,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02184,12.958,-0.00442,593.35,1.795,0.01638
2026-03-12 03:51,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02088,1.034,0.00138,49.52,0.150,0.01549
2026-03-13 04:24,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02066,10.529,0.03843,509.72,1.542,0.01499
2026-03-14 05:46,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02163,-1.275,-0.00061,-58.95,-0.178,0.01338
2026-03-15 08:40,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01991,1.592,0.00554,79.96,0.242,0.03007
2026-03-16 09:42,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01535,32.860,0.01102,2140.43,6.476,0.01411
2026-03-16 22:28,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02465,25.269,0.01576,1025.31,3.102,0.01535
2026-03-17 23:16,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01973,34.122,-0.00518,1729.53,5.233,0.01396
2026-03-19 01:05,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02031,5.178,0.00143,254.92,0.771,0.06173
2026-03-19 14:53,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01649,60.970,0.00156,3697.37,11.186,0.01300
2026-03-20 04:45,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01875,7.225,0.00023,385.34,1.166,0.01320
2026-03-21 07:17,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01958,6.719,0.00207,343.23,1.038,0.01366
2026-03-22 10:23,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.00520,10.968,-0.09393,2107.33,6.376,0.01293
2026-03-23 14:19,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02120,35.716,-0.00124,1684.47,5.096,0.02826
2026-03-24 23:04,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02128,6.395,0.00307,300.48,0.909,0.01435
2026-03-26 00:52,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01812,2.755,-0.00072,152.01,0.460,0.01389
2026-03-27 04:15,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01902,28.078,0.00242,1476.56,4.467,0.06329
2026-03-27 22:56,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01884,17.044,0.00240,904.77,2.737,0.01328
2026-03-29 02:49,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01976,3.435,0.00422,173.86,0.526,0.01307
2026-03-30 07:11,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02307,0.927,0.03752,40.19,0.122,0.01252
2026-03-31 12:45,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01917,5.866,0.00082,305.97,0.926,0.03556
2026-04-01 13:17,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.02101,-0.155,-0.00650,-7.36,-0.022,0.01195
2026-04-02 13:33,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01990,10.522,-0.00035,528.74,1.600,0.01290
2026-04-03 17:28,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01793,5.745,0.00074,320.49,0.970,0.01291
2026-04-04 22:09,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01705,5.154,-0.00235,302.36,0.915,0.01220
2026-04-06 04:29,0301-0416_無循環與有循環_5mins,pump_off,0.8,0.01755,63.371,-0.00539,3611.82,10.927,0.01528
2026-04-07 11:14,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.04398,-47.338,-0.00088,-1076.35,-3.256,0.04556
2026-04-07 19:22,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.04697,10.842,-0.00003,230.82,0.698,0.04381
2026-04-08 03:24,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.04260,0.966,-0.00524,22.68,0.069,0.03803
2026-04-08 12:21,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.04329,50.642,0.02554,1169.83,3.539,0.03976
2026-04-08 21:25,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.04726,-0.133,0.00725,-2.81,-0.009,0.03341
2026-04-09 08:14,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.03598,12.255,-0.01020,340.58,1.030,0.03331
2026-04-09 19:21,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.03455,3.055,0.00003,88.43,0.268,0.02661
2026-04-10 07:24,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.03068,-9.324,-0.00066,-303.92,-0.919,0.02646
2026-04-10 20:38,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.02856,10.632,0.00280,372.23,1.126,0.02613
2026-04-11 10:49,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.03803,3.683,0.00936,96.83,0.293,0.02330
2026-04-12 02:42,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.02591,1.826,-0.00082,70.47,0.213,0.02079
2026-04-12 20:03,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.03201,4.774,0.00415,149.16,0.451,0.02065
2026-04-13 13:02,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.02613,3.769,-0.00122,144.27,0.436,0.01946
2026-04-14 07:34,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.02721,10.793,-0.00032,396.60,1.200,0.01753
2026-04-15 03:32,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.02527,21.675,0.00016,857.61,2.595,0.01725
2026-04-16 01:01,0301-0416_無循環與有循環_5mins,pump_on5,0.8,0.02152,20.211,-0.00633,939.37,2.842,0.08151
2026-07-23 09:04,20260727_1min_data,tau1,0.8,0.01374,-46.917,-0.00548,-3415.84,-10.113,0.02085
2026-07-23 14:50,20260727_1min_data,tau1,0.8,0.02587,24.924,-0.00140,963.33,2.852,0.01850
2026-07-24 03:50,20260727_1min_data,tau1,0.8,0.02444,14.089,-0.00259,576.43,1.707,0.01772
2026-07-24 16:50,20260727_1min_data,tau1,0.8,0.02395,-1.880,0.00766,-78.48,-0.232,0.01717
2026-07-25 06:49,20260727_1min_data,tau1,0.8,0.02293,5.307,-0.00049,231.41,0.685,0.01735
2026-07-25 21:50,20260727_1min_data,tau1,0.8,0.02524,6.275,0.00609,248.58,0.736,0.01536
2026-07-26 12:50,20260727_1min_data,tau1,0.8,0.02047,-3.547,-0.00109,-173.33,-0.513,0.01502
2026-07-27 09:24,20260727_1min_data,tau5,0.8,0.03860,-16.480,-0.00980,-426.97,-1.264,0.04036
2026-07-27 09:24,202607至08最新循環研究,tau5,0.8,0.03842,-16.771,-0.00954,-436.54,-0.815,0.04143
2026-07-27 16:10,202607至08最新循環研究,tau5,0.8,0.04531,-114.893,-0.00566,-2535.43,-4.733,0.04465
2026-07-27 22:27,202607至08最新循環研究,tau5,0.8,0.03852,6.240,-0.00110,161.99,0.302,0.03442
