time,band,dur_hr,P0,kla,se,info,info_per_hr
2025-08-16 05:02,0.330,53.46,1.560,0.00568,0.02347,1815.6,34.0
2025-09-04 05:18,0.190,4.15,0.280,4.53498,1.17759,0.7,0.2
2025-09-06 16:13,0.170,11.48,0.280,0.00950,0.01161,7422.8,646.8
2025-10-07 00:07,0.140,4.64,1.090,0.49995,0.21346,21.9,4.7
2025-10-07 09:01,0.120,4.57,0.870,0.20557,0.05950,282.5,61.8
2025-10-10 05:41,0.130,4.80,0.870,0.03969,0.15697,40.6,8.4
2025-10-12 16:29,0.170,5.59,1.190,0.02377,0.06292,252.6,45.2
2025-10-13 02:46,0.120,4.62,0.920,0.02113,0.11203,79.7,17.2
2025-10-13 12:29,0.420,6.44,0.920,0.05117,0.01564,4090.5,635.5
2025-10-14 23:14,0.400,5.44,1.140,0.01006,0.12945,59.7,11.0
2025-10-21 02:38,0.160,5.04,0.670,0.03927,0.13516,54.7,10.9
2025-10-30 15:00,0.210,7.39,0.930,0.00026,0.02899,1189.5,161.0
2025-11-06 05:55,0.300,5.52,0.980,0.10280,0.08518,137.8,25.0
2025-11-07 14:59,0.280,17.58,0.990,0.00876,0.00450,49288.3,2803.9
2025-11-08 08:35,0.280,19.95,0.990,0.00737,0.00783,16290.6,816.7
2026-01-09 00:00,0.110,5.24,0.820,0.26916,0.25656,15.2,2.9
2026-03-10 03:44,0.530,12.21,1.080,0.03161,0.02691,1381.2,113.1
2026-03-10 15:59,0.190,12.64,0.900,0.10349,0.09210,117.9,9.3
2026-07-01 13:19,0.240,26.42,0.950,0.12092,0.03034,1086.5,41.1
2026-07-03 15:20,0.480,25.92,1.190,0.01815,0.00867,13312.1,513.6
2026-07-27 16:10,0.280,6.27,1.190,0.00828,0.04627,467.2,74.5
2026-07-30 04:25,0.940,4.70,1.160,0.02389,0.15856,39.8,8.5
2026-08-02 10:13,0.240,7.99,1.170,0.00376,0.06630,227.5,28.5
