channel,cond,n_cycles,sd_single,se_stacked,end_mean,ci_lo,ci_hi
ORP,pump_off,38,53.7932,8.7264,-93.2632,-109.2414,-76.4730
ORP,pump_on5,16,40.4969,10.1242,-39.0000,-59.5000,-19.6875
ORP,tau10,15,43.5622,11.2477,-62.3333,-84.1417,-41.3950
ORP,tau5,10,52.9349,16.7395,-11.1000,-41.0050,20.6025
ORP,1:1,7,76.1396,28.7781,-134.2857,-186.1607,-84.2857
ORP,tau1,7,70.5239,26.6555,-73.5714,-115.2929,-19.4286
pH,pump_off,38,0.0122,0.0020,-0.0047,-0.0089,-0.0013
pH,pump_on5,16,0.0126,0.0031,0.0037,-0.0025,0.0094
pH,tau10,15,0.0163,0.0042,0.0067,-0.0007,0.0147
pH,tau5,10,0.0110,0.0035,0.0010,-0.0040,0.0080
pH,1:1,7,0.0219,0.0083,0.0314,0.0171,0.0471
pH,tau1,7,0.0153,0.0058,-0.0000,-0.0114,0.0086
