進度u,疊加落差,標準誤,擬合值
0.0,0.0,inf,0.0
0.0256,-0.05182,0.00739,-0.051
0.0513,-0.05837,0.00758,-0.05999
0.0769,-0.05763,0.0072,-0.06046
0.1026,-0.06096,0.00721,-0.05921
0.1282,-0.05941,0.00726,-0.0576
0.1538,-0.05735,0.00698,-0.05592
0.1795,-0.05735,0.00691,-0.05423
0.2051,-0.05726,0.00705,-0.05254
0.2308,-0.05772,0.00711,-0.05084
0.2564,-0.05198,0.0074,-0.04915
0.2821,-0.04925,0.00721,-0.04745
0.3077,-0.04838,0.00742,-0.04576
0.3333,-0.05054,0.00736,-0.04406
0.359,-0.04882,0.00752,-0.04237
0.3846,-0.05283,0.00799,-0.04067
0.4103,-0.04814,0.00793,-0.03898
0.4359,-0.04402,0.00804,-0.03728
0.4615,-0.03795,0.00798,-0.03559
0.4872,-0.02818,0.00824,-0.0339
0.5128,-0.02954,0.00856,-0.0322
0.5385,-0.02499,0.00878,-0.03051
0.5641,-0.0233,0.00895,-0.02881
0.5897,-0.02157,0.00921,-0.02712
0.6154,-0.01179,0.00936,-0.02542
0.641,-0.00919,0.00951,-0.02373
0.6667,-0.00444,0.00979,-0.02203
0.6923,-0.00299,0.01006,-0.02034
0.7179,0.00027,0.01025,-0.01864
0.7436,0.00842,0.01048,-0.01695
0.7692,0.01106,0.01056,-0.01525
0.7949,0.01095,0.01092,-0.01356
0.8205,0.01502,0.01067,-0.01186
0.8462,0.02016,0.01061,-0.01017
0.8718,0.02736,0.0109,-0.00847
0.8974,0.01978,0.01066,-0.00678
0.9231,0.03157,0.01074,-0.00508
0.9487,0.0355,0.01102,-0.00339
0.9744,0.04153,0.01109,-0.00169
1.0,0.0,inf,0.0
