batch,tau_min,cycle,start,hours,p0,p_end,drop,drop_rate,k_single,peq_single,r2_single,orp_depth,orp_rise_rate,orp_tau,pre_orp,pre_ph,ph_mean,orp_mean,keep
1.1 (1min),1.0,1,2026-07-23 14:50:57,11.992,1.16,0.92,0.24,0.020012507817385856,0.04896715311723775,0.6437603865802553,0.9942235518404509,60.5,33.4335758485999,0.9920849167103797,560.0,6.98,6.989080459770116,598.4252873563219,True
1.1 (1min),1.0,2,2026-07-24 03:50:32,11.992,1.16,0.93,0.23,0.01917909756323542,0.04593849917145549,0.6402339027581574,0.9933481963073627,88.125,19.349529087093558,0.8087447917691682,603.0,6.99,6.985830903790088,591.4416909620991,True
1.1 (1min),1.0,3,2026-07-24 16:50:07,12.993,1.17,0.93,0.24,0.018471800572967878,0.04015231121221645,0.6052045096042966,0.9950677816898925,109.625,14.901321122476864,2.7508004853470016,622.0,7.0,6.982462380300958,595.5663474692202,True
1.1 (1min),1.0,4,2026-07-25 06:49:43,13.994,1.16,0.92,0.24,0.017150002977431064,0.039493341257333794,0.6132489311569718,0.9945679009680655,54.375,14.358410325144174,1.5015432489481755,578.0,6.99,6.975110024449877,597.1625916870415,True
1.1 (1min),1.0,5,2026-07-25 21:50:25,14.878,1.16,0.92,0.24,0.01613114019529134,0.04682563131236752,0.6897127232390898,0.9951002601746066,80.625,10.863425966335642,1.0800970021134502,587.0,6.97,6.976851211072665,581.3829296424452,True
1.1 (1min),1.0,6,2026-07-26 12:50:07,14.995,1.16,0.92,0.24,0.016005335111703895,0.03610813386565969,0.607334083753757,0.9942592900616246,22.0,-3.1101276875555146,5.55818221760138,575.0,6.97,6.971917808219177,565.2785388127854,True
1.1 (1min),1.0,7,2026-07-27 04:49:51,4.003,1.17,1.07,0.1,0.0249791840133222,0.12458054968654074,0.961999199676001,0.9637880843154778,15.466666666666697,0.6632502789032059,98.58314325588564,570.0,6.98,6.970977777777777,559.7288888888888,False
2.1 (5min),5.0,1,2026-07-27 16:10:30,6.271,1.19,0.91,0.28,0.04464720733489833,0.1260690752998534,0.7446350260646799,0.9798135865990245,52.26666666666665,76.40153277971284,0.5174674283763984,541.0,6.98,6.987245989304814,588.3529411764706,True
2.1 (5min),5.0,2,2026-07-27 22:27:47,6.955,1.16,0.92,0.24,0.0345061703742162,0.06220728718655453,0.5022943854270062,0.9841231622018612,-4.2666666666666515,7.399887552763428,1.4652550517296525,548.0,6.99,6.974457831325303,571.1204819277109,True
2.1 (5min),5.0,3,2026-07-28 05:27:06,6.971,1.16,0.92,0.24,0.03442642546917957,0.06054867120677055,0.5184039348350794,0.9825815116341177,16.466666666666697,-1.4248765890545267,50.63845179315991,581.0,6.98,6.9731961259079895,576.3510895883777,True
