rho_obs,0.7900
R0,0.01316
k_med,0.1500
beta_hat,nan

beta,rho_mean,rho_sd,true_median_kept,median_rec,bias_pct,selection_pct
0.00,0.2904,0.0480,0.01316,0.01318,0.1,0.0
0.05,0.5541,0.0467,0.01315,0.01340,1.9,-0.1
0.10,0.6190,0.0424,0.01320,0.01359,3.0,0.2
0.15,0.6780,0.0748,0.01325,0.01378,4.0,0.6
0.20,0.6906,0.0589,0.01338,0.01421,6.2,1.7
0.25,0.7216,0.0364,0.01347,0.01425,5.8,2.3
0.30,0.7304,0.0566,0.01366,0.01440,5.4,3.8
0.40,0.7155,0.0543,0.01417,0.01511,6.7,7.6
0.50,0.7414,0.0437,0.01477,0.01545,4.6,12.2
0.65,0.7632,0.0483,0.01577,0.01628,3.3,19.8
0.80,0.7579,0.0615,0.01714,0.01750,2.1,30.2
