排氣時刻,排氣前壓力,CO2%,CH4%,H2%(差額),CO2:H2,相對進料比
2025-08-26 14:23,0.76,11.0,36.73,49.86,0.2206,0.882
2025-09-01 09:19,0.28,38.6,20.11,38.0,1.0159,4.063
2025-09-10 09:24,0.27,41.8,31.67,23.21,1.8008,7.203
2025-09-15 16:19,0.83,27.1,25.13,45.45,0.5963,2.385
2025-09-18 11:10,0.67,25.0,42.22,30.24,0.8267,3.307
2025-09-22 09:15,0.65,21.5,62.22,13.71,1.5681,6.272
2025-10-04 14:52,0.73,17.2,52.22,28.13,0.6115,2.446
2025-10-09 17:25,0.92,14.6,47.88,35.31,0.4135,1.654
2025-10-13 11:38,1.13,14.2,50.89,32.91,0.4315,1.726
2025-10-20 12:03,0.75,9.5,74.07,14.01,0.6783,2.713
2025-10-30 13:22,0.97,18.2,32.7,46.94,0.3877,1.551
2025-11-03 15:30,0.97,16.4,41.47,39.97,0.4103,1.641
2025-11-06 11:26,0.88,16.5,39.21,42.03,0.3926,1.57
2025-12-26 16:12,0.74,24.3,61.79,11.47,2.1183,8.473
2026-01-02 10:18,0.76,25.1,70.79,1.7,14.7767,59.107
2026-01-05 09:15,0.64,43.8,36.51,17.11,2.5606,10.242
2026-02-23 15:20,0.74,28.6,66.22,2.74,10.4325,41.73
2026-03-03 13:38,0.8,25.4,65.16,7.08,3.5869,14.348
2026-03-10 15:56,0.89,26.2,52.77,18.78,1.395,5.58
2026-03-16 09:37,0.75,27.6,51.91,18.07,1.5278,6.111
2026-03-19 14:42,0.86,26.3,33.87,37.55,0.7005,2.802
2026-03-24 16:30,0.73,27.2,48.15,22.2,1.2254,4.901
2026-03-27 16:14,0.89,25.1,30.01,42.64,0.5886,2.355
2026-04-01 13:13,0.77,26.7,44.36,26.54,1.006,4.024
2026-04-07 09:17,0.73,12.3,37.24,48.01,0.2562,1.025
2026-04-13 13:01,0.74,14.5,56.88,26.18,0.5538,2.215
2026-04-20 14:00,1.02,20.3,48.54,29.05,0.6987,2.795
2026-04-27 15:49,0.73,22.3,72.3,2.95,7.5655,30.262
2026-04-30 13:06,0.8,22.7,26.22,48.72,0.4659,1.864
2026-05-08 09:04,0.95,25.6,41.83,30.39,0.8424,3.37
2026-07-03 13:28,1.0,30.4,13.87,53.6,0.5671,2.269
2026-07-13 09:08,0.63,21.1,50.14,26.16,0.8066,3.226
2026-07-22 14:38,0.72,24.4,34.25,38.88,0.6275,2.51
2026-07-30 09:06,1.02,21.3,34.79,41.8,0.5095,2.038
2026-08-03 09:12,0.96,20.2,44.24,33.39,0.605,2.42
