time,P_from,amp,dur_hr,slope
2025-08-04 15:01,0.000,3.060,1.0500,2.914
2025-08-07 11:25,1.200,1.830,0.2333,7.843
2025-08-14 11:10,0.010,0.620,0.4667,1.329
2025-08-14 13:11,0.000,0.830,0.0167,49.800
2025-08-14 13:34,0.010,1.520,0.0167,91.200
2025-08-14 14:00,1.320,0.270,0.2167,1.246
2025-08-14 14:30,1.170,0.390,0.3167,1.232
2025-08-15 15:23,0.000,1.570,0.8000,1.962
2025-08-15 17:00,1.490,0.050,0.0167,3.000
2025-08-15 18:00,1.290,0.220,0.0167,13.200
2025-08-15 19:00,1.480,0.060,0.0167,3.600
2025-08-18 10:29,1.230,0.270,1.5000,0.180
2025-08-18 15:22,1.270,0.280,0.0167,16.800
2025-08-18 15:46,1.320,0.070,0.0667,1.050
2025-08-21 14:03,0.040,1.250,0.3167,3.947
2025-08-22 09:35,0.010,0.090,0.0167,5.400
2025-08-25 09:02,0.000,1.500,0.0167,90.000
2025-08-26 14:35,0.240,1.160,0.3833,3.026
2025-08-26 15:19,0.100,1.480,0.2667,5.550
2025-08-26 17:35,1.230,0.340,0.0167,20.400
2025-08-26 20:15,1.210,0.370,0.0167,22.200
2025-08-26 23:18,1.220,0.340,0.0167,20.400
2025-08-27 02:34,1.210,0.370,0.0167,22.200
2025-08-27 06:04,1.220,0.350,0.1333,2.625
2025-08-27 07:36,1.410,0.050,0.0167,3.000
2025-08-27 09:51,1.230,0.340,0.0167,20.400
2025-08-27 13:26,1.220,0.370,0.1500,2.467
2025-08-27 17:18,1.210,0.360,0.0167,21.600
2025-08-27 18:33,1.430,0.050,0.0500,1.000
2025-08-27 21:03,1.220,0.360,0.1833,1.964
2025-08-28 01:12,1.210,0.350,0.0167,21.000
2025-08-28 05:17,1.210,0.370,0.0167,22.200
2025-08-28 05:36,1.520,0.050,0.0167,3.000
2025-08-28 09:20,1.210,0.360,0.0167,21.600
2025-08-28 10:36,1.430,0.050,0.0167,3.000
2025-08-28 13:29,1.220,0.340,0.0167,20.400
2025-08-28 13:52,0.190,1.330,0.0167,79.800
2025-08-28 15:55,1.280,0.050,0.0167,3.000
2025-08-28 19:54,1.070,0.050,0.0167,3.000
2025-08-29 10:47,0.140,1.360,0.6333,2.147
2025-09-01 09:15,0.050,0.090,0.3167,0.284
2025-09-02 10:20,0.080,0.930,0.3167,2.937
2025-09-04 09:05,0.080,0.710,0.5167,1.374
2025-09-04 16:33,0.090,0.370,0.6000,0.617
2025-09-05 10:52,0.010,1.000,0.0167,60.000
2025-09-05 15:18,0.040,0.970,0.3833,2.530
2025-09-07 08:55,0.060,0.460,0.2333,1.971
2025-09-08 16:22,0.080,0.460,0.7000,0.657
2025-09-09 11:16,0.250,0.370,0.4667,0.793
2025-09-10 16:46,0.000,1.520,0.0833,18.240
2025-09-11 10:04,0.030,1.560,0.5333,2.925
2025-09-13 21:26,0.520,1.000,1.4000,0.714
2025-09-15 15:59,0.820,0.710,0.3333,2.130
2025-09-17 16:25,0.480,0.540,0.4167,1.296
2025-09-18 10:30,0.650,0.930,0.8167,1.139
2025-09-20 10:16,0.510,1.050,0.4167,2.520
2025-09-22 08:58,0.530,0.980,0.5500,1.782
2025-09-24 09:05,0.180,0.950,0.2333,4.071
2025-09-25 12:46,0.210,1.320,0.0167,79.200
2025-09-26 17:33,0.300,1.210,0.0167,72.600
2025-09-27 17:31,0.810,0.670,0.0167,40.200
2025-09-28 15:24,0.820,0.650,0.0167,39.000
2025-09-29 14:01,0.810,0.660,0.0167,39.600
2025-09-30 18:47,0.710,0.460,0.0167,27.600
2025-10-01 15:57,0.710,0.470,0.0167,28.200
2025-10-04 14:52,0.380,0.810,0.0167,48.600
2025-10-05 09:26,0.710,0.460,0.0167,27.600
2025-10-06 02:35,0.710,0.470,0.0167,28.200
2025-10-06 20:39,0.710,0.470,0.0167,28.200
2025-10-09 17:24,0.920,0.270,0.0167,16.200
2025-10-10 11:24,0.710,0.470,0.0167,28.200
2025-10-11 04:31,0.710,0.470,0.4000,1.175
