time,cond,f_CO2,dP_dt,dORP_dt,dpH_dt
2026-01-09 00:00,1:1,0.5,0.02654,-0.5220,0.04365
2026-01-09 05:22,1:1,0.5,0.04306,-16.7616,0.00193
2026-01-10 22:01,1:1,0.5,0.02551,-10.3407,0.02360
2026-01-13 09:35,1:1,0.5,0.04219,0.4768,-0.01679
2026-01-15 19:49,1:1,0.5,0.03713,-5.0431,0.00032
2026-01-18 12:03,1:1,0.5,0.02513,-60.8666,-0.00225
2026-01-20 21:02,1:1,0.5,0.04171,-64.0161,0.02308
2026-03-01 00:00,pump_off,0.2,0.01856,2.0766,0.00699
2026-03-01 17:14,pump_off,0.2,0.02054,0.3576,0.00070
2026-03-02 18:59,pump_off,0.2,0.02006,-6.2041,-0.00054
2026-03-03 13:42,pump_off,0.2,0.01686,-33.0895,-0.00221
2026-03-03 22:26,pump_off,0.2,0.02694,-0.6281,0.02338
2026-03-04 20:17,pump_off,0.2,0.02295,-5.7045,0.00463
2026-03-05 19:24,pump_off,0.2,0.02148,-8.7082,0.00154
2026-03-06 19:39,pump_off,0.2,0.02121,-9.1116,-0.00068
2026-03-07 20:54,pump_off,0.2,0.02076,-1.1368,0.00192
2026-03-08 23:28,pump_off,0.2,0.01237,-15.6853,0.00411
2026-03-10 03:44,pump_off,0.2,0.01873,-12.3713,-0.02673
2026-03-10 15:59,pump_off,0.2,0.01637,-7.4526,-0.00148
2026-03-11 04:39,pump_off,0.2,0.02184,-12.9576,-0.00442
2026-03-12 03:51,pump_off,0.2,0.02088,-1.0342,0.00138
2026-03-13 04:24,pump_off,0.2,0.02066,-10.5289,0.03843
2026-03-14 05:46,pump_off,0.2,0.02163,1.2752,-0.00061
2026-03-15 08:40,pump_off,0.2,0.01991,-1.5923,0.00554
2026-03-16 09:42,pump_off,0.2,0.01535,-32.8602,0.01102
2026-03-16 22:28,pump_off,0.2,0.02465,-25.2693,0.01576
2026-03-17 23:16,pump_off,0.2,0.01973,-34.1225,-0.00518
2026-03-19 01:05,pump_off,0.2,0.02031,-5.1783,0.00143
2026-03-19 14:53,pump_off,0.2,0.01649,-60.9703,0.00156
2026-03-20 04:45,pump_off,0.2,0.01875,-7.2245,0.00023
2026-03-21 07:17,pump_off,0.2,0.01958,-6.7193,0.00207
2026-03-22 10:23,pump_off,0.2,0.00520,-10.9678,-0.09393
2026-03-23 14:19,pump_off,0.2,0.02120,-35.7158,-0.00124
2026-03-24 23:04,pump_off,0.2,0.02128,-6.3951,0.00307
2026-03-26 00:52,pump_off,0.2,0.01812,-2.7549,-0.00072
2026-03-27 04:15,pump_off,0.2,0.01902,-28.0778,0.00242
2026-03-27 22:56,pump_off,0.2,0.01884,-17.0441,0.00240
