起,迄,時數,覆蓋,循環數,CH4累積速率,壓降速率中位,每日循環數,ORP平均,ORP每循環位移,ORP通量
2025-09-22 09:15,2025-10-04 14:50,293.6,0.903,4,-0.00024,0.03924,0.33,-532.8,-1.9,-0.026
2025-10-13 11:40,2025-10-20 12:02,168.4,0.974,25,0.003331,0.06713,3.56,-546.6,-38.0,-5.646
2025-10-30 13:22,2025-11-03 15:29,98.1,0.981,11,0.003424,0.03394,2.69,-512.3,-15.9,-1.788
2025-11-03 15:30,2025-11-06 11:25,67.9,0.976,3,-0.000759,0.01802,1.06,-511.7,-1.3,-0.06
2025-12-26 16:15,2026-01-02 10:17,162.0,0.989,15,0.003017,0.02811,2.22,-536.3,-27.2,-2.518
2026-01-02 10:21,2026-01-05 09:14,70.9,0.953,3,-0.003597,0.03248,1.02,-557.6,-10.5,-0.446
2026-02-23 15:20,2026-03-03 13:37,190.3,0.959,5,0.001255,0.01828,0.63,-565.8,-2.6,-0.067
2026-03-03 13:38,2026-03-10 15:55,170.3,0.97,7,0.000399,0.01564,0.99,-568.8,-23.7,-0.976
2026-03-19 14:42,2026-03-24 16:29,121.8,0.984,4,0.003458,0.01548,0.79,-564.9,-25.3,-0.833
2026-03-27 16:15,2026-04-01 13:12,116.9,0.98,6,0.003342,0.01357,1.23,-568.7,-11.8,-0.603
2026-04-01 13:13,2026-04-07 09:16,140.1,0.986,8,0.000719,0.01249,1.37,-551.6,-6.8,-0.388
2026-04-07 09:17,2026-04-13 13:00,147.7,0.983,17,0.002584,0.03392,2.76,-602.5,-7.5,-0.865
2026-04-20 14:00,2026-04-27 15:48,169.8,0.975,9,0.002353,0.02894,1.27,-581.9,-9.0,-0.477
2026-04-30 13:08,2026-05-08 09:03,187.9,0.983,4,0.001466,0.0098,0.51,-600.5,-5.5,-0.117
2026-07-03 13:29,2026-07-13 09:07,235.6,0.972,7,0.00246,0.03568,0.71,-538.7,-18.1,-0.537
2026-07-22 14:39,2026-07-30 09:05,186.4,0.899,12,0.000868,0.03453,1.54,-584.7,-33.5,-2.155
2026-07-30 09:07,2026-08-03 09:11,96.1,0.984,17,0.00464,0.03811,4.25,-626.1,-35.4,-6.258
