起始時刻,時長hr,壓降,pH淨變化,ORP淨變化mV
2025-08-31 18:01,8.02,0.11,0.0001,-0.2
2025-09-03 16:18,7.61,0.11,0.0065,-1.0
2025-09-10 07:01,2.82,0.32,-0.0571,15.8
2025-09-10 19:25,2.02,0.12,-0.026,3.4
2025-09-10 21:34,4.35,0.16,-0.0257,2.7
2025-09-25 16:45,2.53,0.1,-0.0063,-1.3
2025-09-27 17:32,3.37,0.12,0.0033,-22.1
2025-09-28 20:40,2.5,0.11,0.0009,0.6
2025-09-30 01:10,2.82,0.11,0.0056,-2.6
2025-10-04 19:51,4.7,0.13,-0.004,4.2
2025-10-05 15:47,10.81,0.29,0.0132,-44.9
2025-10-06 11:04,9.59,0.24,0.0175,-5.1
2025-10-07 00:38,4.12,0.1,0.0012,5.6
2025-10-07 09:01,4.57,0.12,0.0116,-0.5
2025-10-12 16:29,5.59,0.17,0.0053,-20.7
2025-10-13 02:46,3.94,0.11,0.0059,-2.6
2025-10-13 18:56,2.52,0.13,0.0109,3.1
2025-10-14 06:19,2.7,0.11,0.0097,9.6
2025-10-14 15:07,2.07,0.15,0.0273,-49.6
2025-10-14 20:51,2.35,0.16,0.0251,-8.9
2025-10-14 23:14,2.03,0.17,0.0213,-42.6
2025-10-15 01:20,2.85,0.15,0.0311,-27.9
2025-10-15 05:32,3.12,0.16,0.0284,0.3
2025-10-15 09:42,2.02,0.14,0.0233,-38.0
2025-10-15 11:57,3.27,0.21,0.0348,-29.7
2025-10-15 15:47,2.32,0.17,0.0275,-46.6
2025-10-16 01:31,2.94,0.14,0.0302,-12.0
2025-10-16 06:41,2.08,0.15,0.0218,-121.1
2025-10-16 11:57,2.48,0.19,0.0311,-85.0
2025-10-16 15:55,3.37,0.28,0.0766,-89.2
2025-10-16 21:39,4.32,0.29,0.0601,-47.7
2025-10-17 08:03,4.19,0.35,0.0753,-87.1
2025-10-17 16:21,4.52,0.24,0.0351,-36.0
2025-10-18 00:18,3.75,0.18,0.0333,-1.4
2025-10-18 04:04,3.34,0.26,0.033,-85.6
2025-10-18 07:46,3.77,0.17,0.0383,-3.3
