資料,lambda,進度u,r_b真值,r_b回收
合成,0.01,0.0,0.012,0.013685
合成,0.01,0.0169,0.01158,0.013707
合成,0.01,0.0339,0.011175,0.013715
合成,0.01,0.0508,0.010785,0.013707
合成,0.01,0.0678,0.010408,0.013677
合成,0.01,0.0847,0.010044,0.013622
合成,0.01,0.1017,0.009692,0.013536
合成,0.01,0.1186,0.009354,0.013412
合成,0.01,0.1356,0.009026,0.013246
合成,0.01,0.1525,0.008711,0.013031
合成,0.01,0.1695,0.008406,0.012764
合成,0.01,0.1864,0.008112,0.012441
合成,0.01,0.2034,0.007829,0.012062
合成,0.01,0.2203,0.007555,0.01163
合成,0.01,0.2373,0.007291,0.011152
合成,0.01,0.2542,0.007036,0.010636
合成,0.01,0.2712,0.00679,0.010094
合成,0.01,0.2881,0.006552,0.00954
合成,0.01,0.3051,0.006323,0.008987
合成,0.01,0.322,0.006102,0.008447
合成,0.01,0.339,0.005889,0.007931
合成,0.01,0.3559,0.005683,0.007445
合成,0.01,0.3729,0.005484,0.006992
合成,0.01,0.3898,0.005292,0.006575
合成,0.01,0.4068,0.005107,0.006191
合成,0.01,0.4237,0.004929,0.005837
合成,0.01,0.4407,0.004756,0.005507
合成,0.01,0.4576,0.00459,0.005198
合成,0.01,0.4746,0.00443,0.004903
合成,0.01,0.4915,0.004275,0.004619
合成,0.01,0.5085,0.004125,0.004342
合成,0.01,0.5254,0.003981,0.00407
合成,0.01,0.5424,0.003842,0.003802
合成,0.01,0.5593,0.003707,0.003538
合成,0.01,0.5763,0.003578,0.003282
合成,0.01,0.5932,0.003453,0.003035
合成,0.01,0.6102,0.003332,0.002801
合成,0.01,0.6271,0.003215,0.002585
合成,0.01,0.6441,0.003103,0.002389
合成,0.01,0.661,0.002994,0.002215
合成,0.01,0.678,0.00289,0.002063
合成,0.01,0.6949,0.002789,0.001933
合成,0.01,0.7119,0.002691,0.001824
合成,0.01,0.7288,0.002597,0.001733
合成,0.01,0.7458,0.002506,0.001658
合成,0.01,0.7627,0.002419,0.001597
合成,0.01,0.7797,0.002334,0.001547
合成,0.01,0.7966,0.002252,0.001507
合成,0.01,0.8136,0.002174,0.001475
合成,0.01,0.8305,0.002098,0.00145
合成,0.01,0.8475,0.002024,0.00143
合成,0.01,0.8644,0.001954,0.001414
合成,0.01,0.8814,0.001885,0.001402
合成,0.01,0.8983,0.001819,0.001394
合成,0.01,0.9153,0.001756,0.001388
合成,0.01,0.9322,0.001694,0.001384
合成,0.01,0.9492,0.001635,0.001382
合成,0.01,0.9661,0.001578,0.001382
合成,0.01,0.9831,0.001523,0.001383
合成,0.01,1.0,0.001469,0.001385
合成,0.1,0.0,0.012,0.00175
合成,0.1,0.0169,0.01158,0.001743
合成,0.1,0.0339,0.011175,0.001735
合成,0.1,0.0508,0.010785,0.001726
合成,0.1,0.0678,0.010408,0.001717
合成,0.1,0.0847,0.010044,0.001708
合成,0.1,0.1017,0.009692,0.001698
合成,0.1,0.1186,0.009354,0.001687
合成,0.1,0.1356,0.009026,0.001676
合成,0.1,0.1525,0.008711,0.001664
合成,0.1,0.1695,0.008406,0.00165
合成,0.1,0.1864,0.008112,0.001636
合成,0.1,0.2034,0.007829,0.00162
合成,0.1,0.2203,0.007555,0.001603
合成,0.1,0.2373,0.007291,0.001585
合成,0.1,0.2542,0.007036,0.001565
合成,0.1,0.2712,0.00679,0.001543
合成,0.1,0.2881,0.006552,0.00152
合成,0.1,0.3051,0.006323,0.001495
合成,0.1,0.322,0.006102,0.001469
合成,0.1,0.339,0.005889,0.001442
合成,0.1,0.3559,0.005683,0.001413
合成,0.1,0.3729,0.005484,0.001383
合成,0.1,0.3898,0.005292,0.001352
合成,0.1,0.4068,0.005107,0.00132
合成,0.1,0.4237,0.004929,0.001289
合成,0.1,0.4407,0.004756,0.001257
合成,0.1,0.4576,0.00459,0.001226
合成,0.1,0.4746,0.00443,0.001195
合成,0.1,0.4915,0.004275,0.001165
合成,0.1,0.5085,0.004125,0.001136
合成,0.1,0.5254,0.003981,0.001109
合成,0.1,0.5424,0.003842,0.001082
合成,0.1,0.5593,0.003707,0.001057
合成,0.1,0.5763,0.003578,0.001034
合成,0.1,0.5932,0.003453,0.001012
合成,0.1,0.6102,0.003332,0.000991
合成,0.1,0.6271,0.003215,0.000972
合成,0.1,0.6441,0.003103,0.000954
合成,0.1,0.661,0.002994,0.000937
合成,0.1,0.678,0.00289,0.000922
合成,0.1,0.6949,0.002789,0.000908
合成,0.1,0.7119,0.002691,0.000895
合成,0.1,0.7288,0.002597,0.000883
合成,0.1,0.7458,0.002506,0.000872
合成,0.1,0.7627,0.002419,0.000862
合成,0.1,0.7797,0.002334,0.000853
合成,0.1,0.7966,0.002252,0.000845
合成,0.1,0.8136,0.002174,0.000838
合成,0.1,0.8305,0.002098,0.000832
合成,0.1,0.8475,0.002024,0.000826
合成,0.1,0.8644,0.001954,0.000821
合成,0.1,0.8814,0.001885,0.000817
合成,0.1,0.8983,0.001819,0.000813
合成,0.1,0.9153,0.001756,0.00081
合成,0.1,0.9322,0.001694,0.000807
合成,0.1,0.9492,0.001635,0.000804
合成,0.1,0.9661,0.001578,0.000803
合成,0.1,0.9831,0.001523,0.000801
合成,0.1,1.0,0.001469,0.0008
合成,1.0,0.0,0.012,0.000752
合成,1.0,0.0169,0.01158,0.000749
合成,1.0,0.0339,0.011175,0.000746
合成,1.0,0.0508,0.010785,0.000744
合成,1.0,0.0678,0.010408,0.000741
合成,1.0,0.0847,0.010044,0.000738
合成,1.0,0.1017,0.009692,0.000735
合成,1.0,0.1186,0.009354,0.000732
合成,1.0,0.1356,0.009026,0.000729
合成,1.0,0.1525,0.008711,0.000727
合成,1.0,0.1695,0.008406,0.000724
合成,1.0,0.1864,0.008112,0.000721
合成,1.0,0.2034,0.007829,0.000719
合成,1.0,0.2203,0.007555,0.000716
合成,1.0,0.2373,0.007291,0.000713
合成,1.0,0.2542,0.007036,0.000711
合成,1.0,0.2712,0.00679,0.000708
合成,1.0,0.2881,0.006552,0.000705
合成,1.0,0.3051,0.006323,0.000703
合成,1.0,0.322,0.006102,0.0007
合成,1.0,0.339,0.005889,0.000697
合成,1.0,0.3559,0.005683,0.000695
合成,1.0,0.3729,0.005484,0.000692
合成,1.0,0.3898,0.005292,0.00069
合成,1.0,0.4068,0.005107,0.000687
合成,1.0,0.4237,0.004929,0.000685
合成,1.0,0.4407,0.004756,0.000682
合成,1.0,0.4576,0.00459,0.00068
合成,1.0,0.4746,0.00443,0.000677
合成,1.0,0.4915,0.004275,0.000675
合成,1.0,0.5085,0.004125,0.000672
合成,1.0,0.5254,0.003981,0.00067
合成,1.0,0.5424,0.003842,0.000668
合成,1.0,0.5593,0.003707,0.000666
合成,1.0,0.5763,0.003578,0.000663
合成,1.0,0.5932,0.003453,0.000661
合成,1.0,0.6102,0.003332,0.000659
合成,1.0,0.6271,0.003215,0.000657
合成,1.0,0.6441,0.003103,0.000655
合成,1.0,0.661,0.002994,0.000653
合成,1.0,0.678,0.00289,0.000651
合成,1.0,0.6949,0.002789,0.00065
合成,1.0,0.7119,0.002691,0.000648
合成,1.0,0.7288,0.002597,0.000646
合成,1.0,0.7458,0.002506,0.000645
合成,1.0,0.7627,0.002419,0.000643
合成,1.0,0.7797,0.002334,0.000642
合成,1.0,0.7966,0.002252,0.000641
合成,1.0,0.8136,0.002174,0.000639
合成,1.0,0.8305,0.002098,0.000638
合成,1.0,0.8475,0.002024,0.000637
合成,1.0,0.8644,0.001954,0.000636
合成,1.0,0.8814,0.001885,0.000635
合成,1.0,0.8983,0.001819,0.000634
合成,1.0,0.9153,0.001756,0.000633
合成,1.0,0.9322,0.001694,0.000633
合成,1.0,0.9492,0.001635,0.000632
合成,1.0,0.9661,0.001578,0.000631
合成,1.0,0.9831,0.001523,0.000631
合成,1.0,1.0,0.001469,0.00063
合成,10.0,0.0,0.012,0.000915
合成,10.0,0.0169,0.01158,0.000915
合成,10.0,0.0339,0.011175,0.000914
合成,10.0,0.0508,0.010785,0.000914
合成,10.0,0.0678,0.010408,0.000913
合成,10.0,0.0847,0.010044,0.000912
合成,10.0,0.1017,0.009692,0.000912
合成,10.0,0.1186,0.009354,0.000911
合成,10.0,0.1356,0.009026,0.000911
合成,10.0,0.1525,0.008711,0.000911
合成,10.0,0.1695,0.008406,0.00091
合成,10.0,0.1864,0.008112,0.00091
合成,10.0,0.2034,0.007829,0.000909
合成,10.0,0.2203,0.007555,0.000909
合成,10.0,0.2373,0.007291,0.000909
合成,10.0,0.2542,0.007036,0.000908
合成,10.0,0.2712,0.00679,0.000908
合成,10.0,0.2881,0.006552,0.000908
合成,10.0,0.3051,0.006323,0.000908
合成,10.0,0.322,0.006102,0.000907
合成,10.0,0.339,0.005889,0.000907
合成,10.0,0.3559,0.005683,0.000907
合成,10.0,0.3729,0.005484,0.000906
合成,10.0,0.3898,0.005292,0.000906
合成,10.0,0.4068,0.005107,0.000906
合成,10.0,0.4237,0.004929,0.000906
合成,10.0,0.4407,0.004756,0.000905
合成,10.0,0.4576,0.00459,0.000905
合成,10.0,0.4746,0.00443,0.000905
合成,10.0,0.4915,0.004275,0.000905
合成,10.0,0.5085,0.004125,0.000905
合成,10.0,0.5254,0.003981,0.000904
合成,10.0,0.5424,0.003842,0.000904
合成,10.0,0.5593,0.003707,0.000904
合成,10.0,0.5763,0.003578,0.000904
合成,10.0,0.5932,0.003453,0.000904
合成,10.0,0.6102,0.003332,0.000904
合成,10.0,0.6271,0.003215,0.000903
合成,10.0,0.6441,0.003103,0.000903
合成,10.0,0.661,0.002994,0.000903
合成,10.0,0.678,0.00289,0.000903
合成,10.0,0.6949,0.002789,0.000903
合成,10.0,0.7119,0.002691,0.000903
合成,10.0,0.7288,0.002597,0.000902
合成,10.0,0.7458,0.002506,0.000902
合成,10.0,0.7627,0.002419,0.000902
合成,10.0,0.7797,0.002334,0.000902
合成,10.0,0.7966,0.002252,0.000902
合成,10.0,0.8136,0.002174,0.000902
合成,10.0,0.8305,0.002098,0.000902
合成,10.0,0.8475,0.002024,0.000902
合成,10.0,0.8644,0.001954,0.000902
合成,10.0,0.8814,0.001885,0.000902
合成,10.0,0.8983,0.001819,0.000902
合成,10.0,0.9153,0.001756,0.000902
合成,10.0,0.9322,0.001694,0.000902
合成,10.0,0.9492,0.001635,0.000902
合成,10.0,0.9661,0.001578,0.000902
合成,10.0,0.9831,0.001523,0.000902
合成,10.0,1.0,0.001469,0.000902
真實,0.01,0.0,,0.003255
真實,0.01,0.0169,,0.003274
真實,0.01,0.0339,,0.003294
真實,0.01,0.0508,,0.003315
真實,0.01,0.0678,,0.003336
