batch,cyc,hour,P,r_on,r_off,spike,rebound,d_total
tau1,1,07-23 09,1.0193636363636365,0.6000000000000005,0.02448979591836737,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau1,1,07-23 10,1.0020535714285714,1.200000000000001,0.0,0.020000000000000018,-0.010000000000000009,0.010000000000000009
tau1,1,07-23 11,0.9806666666666665,1.200000000000001,0.02222222222222224,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,1,07-23 12,0.9633928571428572,0.6000000000000005,0.01200000000000001,0.010000000000000009,0.0,0.020000000000000018
tau1,1,07-23 13,0.9448333333333333,1.1999999999999944,0.01111111111111112,0.019999999999999907,-0.019999999999999907,0.019999999999999907
tau1,2,07-23 16,1.1310000000000002,0.0,0.01111111111111112,0.0,0.019999999999999796,0.019999999999999796
tau1,2,07-23 19,1.065,1.200000000000001,0.02222222222222224,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,2,07-23 21,1.0274545454545454,1.200000000000001,0.03673469387755105,0.020000000000000018,0.0,0.040000000000000036
tau1,2,07-23 22,1.01075,1.200000000000001,0.0,0.020000000000000018,-0.010000000000000009,0.010000000000000009
tau1,2,07-23 23,0.9908333333333335,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.020000000000000018,0.020000000000000018
tau1,2,07-24 00,0.9746666666666666,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,2,07-24 01,0.9587500000000001,0.6000000000000005,0.0,0.010000000000000009,-0.010000000000000009,0.010000000000000009
tau1,2,07-24 02,0.94,1.1999999999999944,0.01111111111111112,0.019999999999999907,-0.019999999999999907,0.019999999999999907
tau1,3,07-24 04,1.1602500000000002,1.200000000000001,0.01111111111111112,0.020000000000000018,0.0,0.030000000000000027
tau1,3,07-24 05,1.1330000000000002,1.1999999999999877,0.01111111111111112,0.019999999999999796,-0.010000000000000009,0.019999999999999796
tau1,3,07-24 08,1.069666666666667,1.8000000000000016,0.01111111111111112,0.030000000000000027,-0.020000000000000018,0.020000000000000018
tau1,3,07-24 09,1.0500833333333335,1.200000000000001,0.0,0.020000000000000018,-0.010000000000000009,0.010000000000000009
tau1,3,07-24 10,1.0326666666666668,-1.200000000000001,0.01111111111111112,-0.020000000000000018,0.010000000000000009,0.020000000000000018
tau1,3,07-24 11,1.0163333333333333,-0.6000000000000005,0.01111111111111112,-0.010000000000000009,0.0,0.020000000000000018
tau1,3,07-24 12,1.0022727272727274,-0.6000000000000005,0.0,-0.010000000000000009,0.0,0.010000000000000009
tau1,4,07-24 17,1.1565833333333335,1.200000000000001,0.01111111111111112,0.020000000000000018,0.0,0.030000000000000027
tau1,4,07-24 18,1.1320000000000003,1.1999999999999877,0.01111111111111112,0.019999999999999796,-0.010000000000000009,0.019999999999999796
tau1,4,07-24 19,1.111818181818182,1.200000000000001,0.0,0.020000000000000018,0.0,0.020000000000000018
tau1,4,07-24 22,1.0534166666666667,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.020000000000000018,0.010000000000000009
tau1,4,07-25 00,1.021833333333333,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,4,07-25 01,1.0061666666666667,1.8000000000000016,0.0,0.030000000000000027,-0.020000000000000018,0.020000000000000018
tau1,4,07-25 05,0.9444166666666666,-0.5999999999999939,0.01111111111111112,-0.009999999999999898,0.0,0.010000000000000009
tau1,5,07-25 07,1.1606363636363637,1.200000000000001,0.012244897959183685,0.020000000000000018,0.0,0.030000000000000027
tau1,5,07-25 08,1.1335454545454544,0.5999999999999872,2.718913529694261e-16,0.009999999999999787,0.0,0.010000000000000009
tau1,5,07-25 09,1.1147500000000001,1.200000000000001,0.022222222222221994,0.020000000000000018,-0.010000000000000009,0.029999999999999805
tau1,5,07-25 10,1.0947272727272728,1.200000000000001,0.012244897959183685,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,5,07-25 11,1.0754166666666667,0.6000000000000005,0.0,0.010000000000000009,-0.010000000000000009,0.010000000000000009
tau1,5,07-25 12,1.0613636363636363,0.6000000000000005,0.02448979591836737,0.010000000000000009,0.010000000000000009,0.030000000000000027
tau1,5,07-25 14,1.0275833333333335,0.0,0.01111111111111112,0.0,0.020000000000000018,0.010000000000000009
tau1,5,07-25 15,1.011,0.0,0.02222222222222224,0.0,0.030000000000000027,0.020000000000000018
tau1,6,07-25 22,1.1580833333333336,0.0,0.01111111111111112,0.0,0.030000000000000027,0.030000000000000027
tau1,6,07-25 23,1.1328333333333336,0.5999999999999872,0.01111111111111112,0.009999999999999787,0.0,0.019999999999999796
tau1,6,07-26 00,1.112542372881356,1.200000000000001,0.011320754716981142,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,6,07-26 01,1.0912280701754387,1.200000000000001,0.011764705882352951,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,6,07-26 02,1.0734166666666667,1.200000000000001,0.0,0.020000000000000018,-0.010000000000000009,0.010000000000000009
tau1,6,07-26 03,1.0576666666666668,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau1,6,07-26 04,1.0413333333333332,0.6000000000000005,0.02222222222222224,0.010000000000000009,0.0,0.020000000000000018
tau1,6,07-26 05,1.0257500000000002,0.6000000000000005,0.01111111111111112,0.010000000000000009,-0.010000000000000009,0.010000000000000009
tau1,6,07-26 07,0.9972500000000001,1.200000000000001,0.0,0.020000000000000018,-0.020000000000000018,0.010000000000000009
tau1,6,07-26 09,0.9692857142857142,1.8000000000000016,0.0,0.030000000000000027,-0.020000000000000018,0.0
tau1,6,07-26 11,0.9408333333333333,0.0,0.02222222222222212,0.0,0.009999999999999898,0.019999999999999907
tau1,7,07-26 13,1.1629999999999998,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018
tau1,7,07-26 14,1.138583333333333,0.0,0.01111111111111112,0.0,0.029999999999999805,0.029999999999999805
tau1,7,07-26 15,1.116916666666667,0.0,0.0,0.0,0.020000000000000018,0.010000000000000009
tau1,7,07-26 17,1.0825833333333332,1.200000000000001,0.0,0.020000000000000018,-0.020000000000000018,0.010000000000000009
tau1,7,07-26 19,1.0506666666666666,1.200000000000001,0.02222222222222224,0.020000000000000018,-0.020000000000000018,0.020000000000000018
