time,folder,cond,dur_hr,rb,k,peq,rmse,total_rate,dORP
2026-01-09 00:00,0109-0123_H2_1CO2_1,1:1,5.17,-0.143538,0.010,-15.9090,0.00462,0.02128,-35.0
2026-01-09 05:22,0109-0123_H2_1CO2_1,1:1,40.38,-0.003826,0.070,0.5291,0.00930,0.01387,-93.0
2026-01-10 22:01,0109-0123_H2_1CO2_1,1:1,59.49,0.001923,0.090,0.8341,0.00819,0.00824,-125.0
2026-01-13 09:35,0109-0123_H2_1CO2_1,1:1,58.14,0.002014,0.130,0.8376,0.00963,0.00963,-97.0
2026-01-15 19:49,0109-0123_H2_1CO2_1,1:1,63.95,0.002080,0.130,0.8481,0.00949,0.00876,-74.0
2026-01-18 12:03,0109-0123_H2_1CO2_1,1:1,56.90,0.001864,0.130,0.8266,0.00721,0.00668,-254.0
2026-01-20 21:02,0109-0123_H2_1CO2_1,1:1,63.26,0.001868,0.130,0.8465,0.00905,0.00854,-248.0
2026-03-01 00:00,0301-0416_無循環與有循環_5mins,pump_off,17.14,0.011450,0.240,0.9093,0.00527,0.01283,39.0
2026-03-01 17:14,0301-0416_無循環與有循環_5mins,pump_off,25.62,0.007417,0.060,0.8617,0.00553,0.01405,-56.0
2026-03-02 18:59,0301-0416_無循環與有循環_5mins,pump_off,18.59,0.012539,0.190,1.0299,0.01294,0.03496,-124.0
2026-03-03 13:42,0301-0416_無循環與有循環_5mins,pump_off,8.66,0.014226,1.380,0.8397,0.00540,0.01617,-145.0
2026-03-03 22:26,0301-0416_無循環與有循環_5mins,pump_off,21.76,0.013352,0.160,1.0048,0.00525,0.01654,-82.0
2026-03-04 20:17,0301-0416_無循環與有循環_5mins,pump_off,23.03,0.012208,0.130,0.9935,0.00537,0.01563,-65.0
2026-03-05 19:24,0301-0416_無循環與有循環_5mins,pump_off,24.15,0.011877,0.140,0.9994,0.00514,0.01532,-46.0
2026-03-06 19:39,0301-0416_無循環與有循環_5mins,pump_off,25.15,0.011580,0.150,1.0022,0.00507,0.01432,-78.0
2026-03-07 20:54,0301-0416_無循環與有循環_5mins,pump_off,26.50,0.010613,0.120,0.9901,0.00523,0.01396,-112.0
2026-03-08 23:28,0301-0416_無循環與有循環_5mins,pump_off,28.18,0.002576,0.010,-0.0574,0.00519,0.01171,-161.0
