truth_form,k,true_rb,recovered_rb,rel_bias,ci_covers
C  constant,0.0520,0.015000,0.015013,0.0009,1
C  constant,0.1162,0.015000,0.014958,-0.0028,1
C  constant,0.1936,0.015000,0.014984,-0.0011,1
C  constant,0.4093,0.015000,0.015027,0.0018,1
C  constant,1.4161,0.015000,0.015055,0.0037,1
L  linear,0.0520,0.006520,0.006560,0.0062,1
L  linear,0.1162,0.007162,0.007162,0.0000,1
L  linear,0.1936,0.007936,0.007633,-0.0382,0
L  linear,0.4093,0.010093,0.009864,-0.0227,1
L  linear,1.4161,0.020161,0.017976,-0.1084,1
S  saturating,0.0520,0.005162,0.005309,0.0283,1
S  saturating,0.1162,0.009519,0.009837,0.0334,1
S  saturating,0.1936,0.013095,0.011848,-0.0952,0
S  saturating,0.4093,0.018624,0.017201,-0.0764,0
S  saturating,1.4161,0.025498,0.024258,-0.0487,0
