time,folder,dur_hr,P0,rate,kla_proxy
2025-08-16 05:02,old data/2025,53.5,1.56,0.00617,-0.00065
2025-08-21 15:10,old data/2025,5.8,1.32,0.05734,0.30327
2025-08-24 23:16,old data/2025,9.8,1.54,0.15652,0.00738
2025-08-25 09:05,old data/2025,7.0,1.50,0.05021,0.04880
2025-08-31 02:49,old data/2025,4.3,0.54,0.02566,0.19098
2025-08-31 11:35,old data/2025,21.7,0.39,0.01521,0.22442
2025-09-02 13:10,old data/2025,6.7,0.92,0.02841,0.18672
2025-09-03 16:18,old data/2025,7.6,0.44,0.01446,0.17091
2025-09-04 05:18,old data/2025,4.2,0.28,0.04574,0.01537
2025-09-06 16:13,old data/2025,11.5,0.28,0.01481,0.24618
2025-09-08 01:54,old data/2025,10.7,0.27,0.01407,0.28235
2025-09-10 07:01,old data/2025,9.8,0.32,0.03280,0.59726
2025-09-10 16:53,old data/2025,17.2,1.52,0.08673,0.30020
2025-10-01 01:34,old data/2025,6.8,1.01,0.02664,0.12737
2025-10-04 19:51,old data/2025,5.7,1.06,0.02653,0.10897
2025-10-05 13:51,old data/2025,12.7,1.06,0.02747,0.13561
2025-10-06 09:36,old data/2025,11.0,1.00,0.02626,0.11085
2025-10-07 00:07,old data/2025,4.6,1.09,0.03019,0.11166
2025-10-07 09:01,old data/2025,4.6,0.87,0.02626,0.10864
2025-10-09 17:26,old data/2025,4.3,1.19,0.03057,0.09514
2025-10-09 21:42,old data/2025,4.0,1.07,0.02725,0.05988
2025-10-10 05:41,old data/2025,4.8,0.87,0.02707,0.12117
2025-10-10 11:25,old data/2025,5.9,1.17,0.03048,0.12594
2025-10-12 16:29,old data/2025,5.6,1.19,0.03042,0.12320
2025-10-13 02:46,old data/2025,4.6,0.92,0.02597,0.12352
2025-10-13 12:29,old data/2025,6.4,0.92,0.06525,0.35305
2025-10-13 22:14,old data/2025,7.8,0.39,0.03572,0.67290
2025-10-14 23:14,old data/2025,5.4,1.14,0.07356,0.40023
2025-10-15 04:41,old data/2025,4.2,0.77,0.05538,0.37882
2025-10-15 23:29,old data/2025,5.8,1.04,0.05702,0.29550
2025-10-16 14:28,old data/2025,4.8,1.18,0.09160,0.34915
2025-10-16 20:33,old data/2025,5.4,1.09,0.07010,0.34365
2025-10-17 08:03,old data/2025,6.0,1.16,0.07475,0.41178
2025-10-17 14:28,old data/2025,6.4,1.11,0.05934,0.36457
