u,real_mean,real_sem,sim_mean,sim_sem
0.0000,-0.006015,0.002441,-0.015529,0.012928
0.0256,-0.000870,0.001523,-0.008853,0.006029
0.0513,0.003669,0.001243,0.003452,0.004075
0.0769,0.004925,0.001473,-0.000703,0.003951
0.1026,0.007859,0.001691,0.009074,0.008737
0.1282,0.001651,0.001725,0.009245,0.009620
0.1538,-0.005495,0.001759,0.007837,0.006167
0.1795,-0.003331,0.001834,0.008464,0.004157
0.2051,-0.001190,0.001808,-0.003442,0.005448
0.2308,0.001434,0.001733,-0.002805,0.008286
0.2564,-0.001309,0.001905,-0.001851,0.003447
0.2821,-0.000529,0.001840,-0.004044,0.005765
0.3077,-0.000480,0.001627,-0.013861,0.010400
0.3333,-0.003165,0.001651,-0.000249,0.002670
0.3590,0.000007,0.001574,-0.001565,0.002661
0.3846,-0.002836,0.001547,0.007069,0.004777
0.4103,-0.000647,0.001387,-0.001282,0.004479
0.4359,-0.000112,0.001453,0.007578,0.006091
0.4615,0.000266,0.001714,0.008778,0.012227
0.4872,0.001020,0.001245,0.009309,0.007769
0.5128,-0.002719,0.001398,0.001110,0.005377
0.5385,0.000971,0.001423,0.009480,0.011432
0.5641,0.000184,0.001283,-0.003650,0.005752
0.5897,-0.001949,0.001300,-0.004246,0.002194
0.6154,0.002297,0.001343,-0.009663,0.010206
0.6410,0.000013,0.001355,-0.007715,0.007860
0.6667,0.003157,0.001578,-0.018523,0.017777
0.6923,0.003148,0.001444,-0.010264,0.009443
0.7179,0.001616,0.001471,-0.004203,0.005456
0.7436,0.004418,0.001555,0.014106,0.010094
0.7692,0.003189,0.001769,0.013047,0.007988
0.7949,0.001064,0.001435,0.012453,0.009068
0.8205,-0.000270,0.001470,0.004878,0.004778
0.8462,-0.000309,0.001790,0.004697,0.003685
0.8718,-0.000631,0.001519,-0.004651,0.003668
0.8974,-0.000627,0.001580,-0.002762,0.002654
0.9231,0.000796,0.001605,-0.006462,0.005732
0.9487,0.001581,0.001817,0.001953,0.002846
0.9744,0.000069,0.001958,0.002256,0.005186
1.0000,-0.067492,0.009957,0.016080,0.014260
