起始時刻,群,彎曲量,時長hr,降幅,速率,起壓,CO2中位
2025-08-21 15:10,最彎（先快後慢）,0.33517,2.75,0.31,0.11265,1.32,3.6
2025-08-31 18:01,接近直線,0.01141,8.02,0.11,0.01371,0.27,0.1
2025-09-03 16:18,接近直線,0.10953,7.61,0.11,0.01446,0.44,0.9
2025-09-10 07:01,反向彎（先慢後快）,-0.24639,2.82,0.32,0.11351,0.32,0.0
2025-09-10 19:25,接近直線,0.04587,2.02,0.12,0.05945,1.3,27.5
2025-09-10 21:34,接近直線,0.03447,4.35,0.16,0.03675,1.17,16.4
2025-09-25 16:45,接近直線,0.02346,2.53,0.1,0.03945,1.37,0.8
2025-09-27 17:32,接近直線,0.0007,3.37,0.12,0.03561,1.46,0.1
2025-09-28 20:40,接近直線,0.03986,2.5,0.11,0.04397,1.31,0.0
2025-09-30 01:10,接近直線,0.01847,2.82,0.11,0.03902,1.16,0.0
2025-10-04 19:51,接近直線,0.01399,4.7,0.13,0.02764,1.06,0.2
2025-10-05 15:47,接近直線,0.00478,10.81,0.29,0.02683,1.0,0.0
2025-10-06 11:04,接近直線,0.00613,9.59,0.24,0.02502,0.95,0.0
2025-10-07 00:38,接近直線,-0.03916,4.12,0.1,0.02427,1.05,0.0
2025-10-07 09:01,接近直線,0.05887,4.57,0.12,0.02626,0.87,0.0
2025-10-12 16:29,接近直線,0.08062,5.59,0.17,0.03042,1.19,0.0
2025-10-13 02:46,接近直線,0.09204,3.94,0.11,0.02794,0.92,0.0
2025-10-13 18:56,接近直線,0.02501,2.52,0.13,0.05163,0.53,0.1
2025-10-14 06:19,接近直線,-0.08797,2.7,0.11,0.04071,0.14,0.0
2025-10-14 15:07,接近直線,0.11158,2.07,0.15,0.07252,0.87,0.2
2025-10-14 20:51,接近直線,0.07479,2.35,0.16,0.06804,0.88,0.1
2025-10-14 23:14,接近直線,0.08713,2.03,0.17,0.08355,1.14,0.1
2025-10-15 01:20,接近直線,0.03512,2.85,0.15,0.0526,0.95,0.1
2025-10-15 05:32,接近直線,0.02352,3.12,0.16,0.0513,0.71,0.1
2025-10-15 09:42,接近直線,-0.05373,2.02,0.14,0.06935,1.04,0.0
2025-10-15 11:57,接近直線,0.04387,3.27,0.21,0.06424,0.92,0.0
2025-10-15 15:47,接近直線,0.06197,2.32,0.17,0.07333,1.1,0.0
2025-10-16 01:31,接近直線,-0.05382,2.94,0.14,0.04769,0.89,0.0
2025-10-16 06:41,接近直線,0.01312,2.08,0.15,0.07195,1.05,0.0
2025-10-16 11:57,接近直線,0.05921,2.48,0.19,0.07646,0.91,0.7
2025-10-16 15:55,接近直線,-0.03038,3.37,0.28,0.08312,1.02,0.2
2025-10-16 21:39,接近直線,0.03655,4.32,0.29,0.06713,1.0,0.1
2025-10-17 08:03,接近直線,0.0542,4.19,0.35,0.08362,1.16,0.0
2025-10-17 16:21,接近直線,0.08695,4.52,0.24,0.0531,0.97,0.0
2025-10-18 00:18,接近直線,0.09111,3.75,0.18,0.04796,0.91,0.0
2025-10-18 04:04,接近直線,0.05658,3.34,0.26,0.07795,1.16,0.0
2025-10-18 07:46,接近直線,0.12713,3.77,0.17,0.0451,0.92,0.0
2025-10-18 12:14,接近直線,0.00155,4.85,0.26,0.05357,1.1,0.0
2025-10-18 21:00,接近直線,0.09838,2.54,0.2,0.07889,1.16,0.0
2025-10-18 23:36,接近直線,0.04456,2.65,0.14,0.05279,0.98,0.0
2025-10-19 07:24,接近直線,0.04447,2.74,0.21,0.07677,1.16,0.0
2025-10-19 22:00,接近直線,0.10884,4.52,0.24,0.0531,1.14,0.0
2025-10-20 09:16,反向彎（先慢後快）,-0.22673,3.45,0.3,0.0869,0.78,0.0
2025-10-20 16:58,接近直線,0.0721,4.05,0.15,0.03701,0.99,0.5
2025-10-20 21:05,接近直線,-0.0158,2.43,0.11,0.04517,0.84,0.3
2025-10-21 03:08,接近直線,0.00326,4.24,0.12,0.02833,0.64,0.1
2025-10-21 12:28,最彎（先快後慢）,0.34421,3.32,0.53,0.15969,0.97,0.55
2025-10-21 17:57,接近直線,0.02772,2.27,0.14,0.06173,0.91,0.7
2025-10-21 20:17,接近直線,0.01407,5.94,0.23,0.03874,0.77,0.5
2025-10-22 03:02,接近直線,0.00744,4.9,0.15,0.03059,0.49,0.3
2025-10-27 15:09,最彎（先快後慢）,0.26244,3.79,0.26,0.06868,0.98,0.9
2025-10-27 18:58,接近直線,0.0042,7.17,0.26,0.03625,0.97,0.4
2025-10-28 04:19,接近直線,0.0028,4.72,0.17,0.03602,0.88,0.2
2025-10-28 09:03,接近直線,-0.17628,2.25,0.24,0.1066,0.97,0.2
2025-10-28 11:19,接近直線,0.0165,2.45,0.11,0.04487,0.98,1.0
2025-10-28 13:53,接近直線,0.02666,4.55,0.15,0.03294,0.87,0.6
2025-10-28 20:01,接近直線,0.08907,5.14,0.19,0.03699,0.93,0.4
2025-10-29 02:43,接近直線,0.01298,5.07,0.2,0.03945,0.93,0.2
2025-10-29 15:38,接近直線,-0.00579,5.22,0.2,0.03831,0.97,0.1
2025-10-30 00:09,接近直線,0.10473,3.34,0.13,0.03897,0.93,0.0
2025-10-30 07:14,接近直線,0.03341,5.74,0.22,0.03835,0.93,0.0
2025-10-30 15:14,接近直線,0.01249,7.15,0.18,0.02516,0.9,0.6
2025-10-30 22:25,接近直線,0.02272,5.62,0.19,0.0338,0.98,0.4
2025-10-31 06:27,接近直線,-0.05135,4.32,0.16,0.03704,0.97,0.2
2025-10-31 10:52,接近直線,0.01791,3.54,0.12,0.03394,0.83,0.2
2025-10-31 14:25,接近直線,-2e-05,4.89,0.17,0.03479,0.97,0.1
2025-11-01 06:04,接近直線,-0.00715,4.87,0.18,0.03696,0.99,0.0
2025-11-01 11:00,接近直線,0.07375,3.5,0.11,0.03141,0.83,0.0
2025-11-01 15:53,接近直線,0.07514,3.17,0.12,0.03786,0.94,0.0
2025-11-02 02:12,接近直線,0.00251,3.22,0.11,0.03417,0.86,0.0
2025-11-02 07:00,接近直線,0.04929,7.91,0.26,0.03289,0.97,0.0
2025-11-03 08:16,接近直線,0.04828,6.79,0.13,0.01915,0.84,0.0
2025-11-04 08:58,接近直線,0.02278,6.1,0.11,0.01802,0.94,0.1
2025-11-04 15:09,接近直線,0.00852,6.55,0.12,0.01831,0.83,0.1
2025-11-05 22:35,接近直線,-0.05649,7.07,0.1,0.01414,0.81,0.0
2025-11-07 18:20,接近直線,-0.0429,9.14,0.13,0.01422,0.92,0.0
2025-11-08 17:38,接近直線,-0.01116,10.89,0.15,0.01377,0.86,0.0
2025-11-10 21:30,接近直線,0.03185,7.07,0.1,0.01414,0.92,0.0
2025-12-22 11:56,接近直線,0.11375,5.37,0.12,0.02235,0.85,1.0
2025-12-22 19:42,接近直線,0.00738,6.72,0.19,0.02827,0.9,0.5
2025-12-23 05:49,接近直線,0.01913,5.59,0.16,0.02864,0.87,0.3
2025-12-23 11:25,接近直線,0.04186,9.04,0.28,0.03098,0.99,0.2
2025-12-23 20:29,接近直線,0.06489,3.29,0.12,0.03653,0.99,0.1
2025-12-23 23:52,接近直線,0.06257,4.17,0.11,0.02638,0.87,0.1
2025-12-24 06:16,接近直線,0.01659,8.96,0.25,0.02792,0.96,0.1
2025-12-24 15:14,接近直線,0.02661,5.04,0.15,0.02978,0.98,0.0
2025-12-25 00:55,接近直線,0.07066,9.82,0.27,0.02749,0.99,0.0
2025-12-25 10:46,接近直線,0.06952,9.94,0.27,0.02717,0.99,0.0
2025-12-25 21:03,接近直線,0.05032,9.89,0.25,0.02528,0.97,0.0
2025-12-26 07:04,反向彎（先慢後快）,-0.30181,9.14,0.65,0.07113,0.97,0.0
2025-12-26 17:00,接近直線,0.00171,3.24,0.12,0.03709,0.98,1.4
2025-12-26 20:53,接近直線,-0.00851,5.6,0.13,0.0232,0.85,0.9
2025-12-27 11:16,接近直線,0.0418,8.99,0.28,0.03115,0.99,0.3
2025-12-27 20:17,接近直線,0.06684,4.52,0.16,0.0354,0.99,0.2
2025-12-28 00:52,接近直線,0.00662,4.27,0.12,0.02811,0.83,0.2
2025-12-28 05:09,接近直線,0.05401,8.07,0.23,0.0285,0.98,0.1
2025-12-28 15:56,接近直線,0.00774,7.65,0.21,0.02744,0.92,0.1
2025-12-28 23:36,接近直線,0.05737,6.12,0.19,0.03105,0.99,0.0
2025-12-29 09:13,接近直線,0.04508,7.64,0.23,0.03012,0.99,0.0
2025-12-29 19:03,接近直線,0.04729,9.77,0.28,0.02865,0.99,0.0
2025-12-30 04:50,接近直線,0.04764,10.29,0.28,0.02722,0.99,0.0
2025-12-30 15:10,接近直線,0.04675,7.97,0.21,0.02635,0.98,0.0
2025-12-31 01:32,接近直線,0.06354,11.36,0.26,0.0229,0.98,0.0
2025-12-31 16:08,接近直線,0.07144,8.54,0.17,0.01991,0.89,0.0
2026-01-01 20:46,接近直線,0.11999,12.52,0.23,0.01837,0.98,0.0
2026-01-02 11:35,接近直線,0.06392,3.3,0.13,0.03938,1.0,1.9
2026-01-02 14:57,接近直線,0.00281,4.0,0.13,0.03248,0.86,1.3
2026-01-02 23:07,接近直線,0.00022,6.4,0.18,0.02811,0.59,0.8
2026-01-05 09:23,接近直線,0.09837,3.75,0.24,0.06397,1.28,22.45
2026-01-05 14:24,接近直線,0.00909,5.17,0.21,0.04063,0.98,4.7
2026-01-05 22:05,接近直線,0.01903,2.15,0.11,0.05114,1.22,4.8
2026-01-06 07:47,接近直線,-0.00209,4.1,0.12,0.02925,0.83,3.6
2026-01-06 13:58,接近直線,0.02558,4.65,0.17,0.03654,0.97,16.1
2026-01-06 21:51,接近直線,-0.0341,8.95,0.22,0.02457,1.15,18.1
2026-01-07 16:24,接近直線,0.06801,15.12,0.52,0.03438,1.28,4.3
2026-01-08 09:50,接近直線,0.09129,2.13,0.12,0.05623,1.29,2.2
2026-01-08 12:05,接近直線,0.06335,3.5,0.12,0.03427,1.17,1.9
2026-01-09 05:22,接近直線,0.00237,10.94,0.33,0.03017,1.27,0.6
2026-01-13 09:35,接近直線,0.05118,8.14,0.29,0.03564,1.28,0.0
2026-01-15 19:49,接近直線,0.05416,6.45,0.24,0.03719,1.29,0.0
2026-01-18 12:03,接近直線,0.0885,4.72,0.12,0.02543,1.11,0.0
2026-02-10 19:55,接近直線,0.05293,9.55,0.22,0.02303,1.18,1.3
2026-02-11 05:33,接近直線,0.05001,6.97,0.13,0.01865,0.96,0.9
2026-02-11 18:42,接近直線,0.04706,10.57,0.27,0.02554,1.19,0.4
2026-02-12 05:22,接近直線,0.02468,9.25,0.17,0.01837,0.92,0.2
2026-02-14 00:15,接近直線,0.03281,8.7,0.15,0.01723,0.87,0.0
2026-02-14 08:58,接近直線,0.08194,4.27,0.1,0.02342,1.08,0.0
2026-02-14 13:19,接近直線,0.03027,7.42,0.14,0.01886,0.97,0.0
2026-02-15 05:01,接近直線,0.02398,5.79,0.12,0.02074,1.03,0.0
2026-02-23 21:38,接近直線,0.04808,6.54,0.13,0.01989,0.95,0.7
2026-02-24 17:59,接近直線,-0.01625,8.75,0.16,0.01828,0.87,0.2
2026-02-27 10:24,接近直線,0.01629,6.67,0.1,0.01499,0.81,0.0
2026-02-28 16:34,接近直線,0.04455,4.95,0.12,0.02423,1.09,0.0
2026-03-02 00:45,接近直線,-0.00869,7.55,0.11,0.01456,0.94,0.0
2026-03-03 11:20,反向彎（先慢後快）,-0.4462,2.3,0.41,0.17811,0.83,0.0
2026-03-03 22:57,接近直線,0.02653,5.94,0.13,0.0219,1.07,0.6
2026-03-04 20:30,接近直線,0.04661,5.54,0.12,0.02167,1.08,0.1
2026-03-05 19:24,接近直線,0.06549,7.35,0.15,0.0204,1.09,0.0
2026-03-06 19:39,接近直線,0.0476,18.54,0.29,0.01564,1.08,0.0
2026-03-07 20:54,接近直線,0.06396,14.32,0.22,0.01536,1.08,0.0
2026-03-09 16:21,接近直線,0.02728,11.36,0.14,0.01233,0.85,0.0
2026-03-10 05:21,接近直線,0.04512,8.39,0.12,0.01431,1.04,0.0
2026-03-10 13:51,反向彎（先慢後快）,-0.4377,2.08,0.36,0.17273,0.91,0.0
2026-03-14 06:38,接近直線,0.05043,7.5,0.12,0.01599,1.06,0.0
2026-03-16 06:56,反向彎（先慢後快）,-0.45013,2.68,0.43,0.16017,0.77,0.0
2026-03-16 09:53,接近直線,0.01806,12.57,0.17,0.01352,0.88,1.0
2026-03-18 13:51,接近直線,0.04656,8.74,0.12,0.01373,0.86,0.0
2026-03-19 07:40,反向彎（先慢後快）,-0.41706,7.02,0.73,0.10398,0.96,0.0
2026-03-19 14:53,接近直線,0.05213,7.15,0.11,0.01538,0.9,1.4
2026-03-20 04:45,接近直線,0.01278,9.62,0.15,0.01559,1.07,0.4
2026-03-21 07:17,接近直線,0.06728,11.04,0.19,0.01721,1.09,0.1
2026-03-23 14:19,接近直線,0.08813,10.19,0.14,0.01374,1.07,0.0
2026-03-24 08:09,反向彎（先慢後快）,-0.39723,8.34,0.49,0.05876,0.82,0.0
2026-03-25 06:05,接近直線,0.01139,13.21,0.17,0.01287,0.95,0.4
2026-03-27 07:26,反向彎（先慢後快）,-0.3985,8.82,0.68,0.07707,1.01,0.0
2026-03-27 22:56,接近直線,0.06343,7.94,0.15,0.0189,1.09,0.7
2026-03-29 02:49,接近直線,0.05809,20.76,0.29,0.01397,1.09,0.0
2026-03-30 08:59,接近直線,0.00958,12.41,0.16,0.01289,1.04,0.0
2026-03-30 21:32,接近直線,0.05912,14.48,0.15,0.01036,0.88,0.0
2026-03-31 12:45,接近直線,0.07645,10.96,0.17,0.01552,1.09,0.0
2026-03-31 23:52,接近直線,-0.00621,9.11,0.12,0.01318,0.92,0.0
2026-04-01 21:25,接近直線,-0.02656,10.47,0.12,0.01146,0.89,0.7
2026-04-02 13:33,接近直線,0.05041,7.27,0.13,0.01788,1.08,0.2
2026-04-02 20:55,接近直線,0.0517,10.64,0.12,0.01128,0.95,0.1
2026-04-03 17:28,接近直線,0.04145,5.32,0.1,0.0188,1.08,0.0
2026-04-03 22:58,接近直線,0.00372,12.26,0.15,0.01224,0.98,0.0
2026-04-04 11:17,接近直線,-0.00831,10.84,0.12,0.01107,0.83,0.0
2026-04-05 00:52,接近直線,0.00521,8.29,0.12,0.01448,1.03,0.0
2026-04-06 04:29,接近直線,0.07642,19.63,0.25,0.01274,1.09,0.0
2026-04-07 00:58,反向彎（先慢後快）,-0.27027,8.32,0.17,0.02043,0.82,0.0
2026-04-07 12:54,接近直線,0.03344,6.45,0.24,0.03718,0.96,0.9
2026-04-07 19:22,接近直線,0.0667,2.0,0.14,0.06995,1.07,0.6
