feature,real_median,sim_median,std_diff
curv,0.55556,0.57143,-0.184
resid_sd,0.00555,0.00611,-0.129
resid_ac1,0.23667,0.21746,0.066
n_levels,0.04583,0.04853,-0.124
top_share,0.06037,0.05534,0.086
mean_run,2.46771,2.18545,0.178
max_run,0.02573,0.02015,0.100
amp,0.27000,0.27000,0.000
dur,10.22236,10.22236,0.000
mono,0.81517,0.78770,0.340

noise_model,phi_mult,auc,auc_sd
white Gaussian,0.00,0.9540,0.0290
"AR(1), phi from residuals",1.00,0.7657,0.0447
"AR(1), phi x 1.3 (calibrated on CAL)",1.30,0.7058,0.0985

trim_min,0
