time,setpoint_mode
2025-08-14 14:30,0.000
2025-08-21 21:15,0.970
2025-08-24 09:07,1.530
2025-08-26 15:54,1.220
2025-08-27 08:41,1.220
2025-08-28 00:11,1.220
2025-08-28 14:12,1.220
2025-08-29 02:54,0.770
2025-08-29 17:42,1.280
2025-08-30 10:00,1.020
2025-09-02 11:23,0.065
2025-09-04 09:05,0.065
2025-09-05 03:35,0.430
2025-09-05 18:22,0.480
2025-09-06 21:22,0.130
2025-09-07 08:55,0.065
2025-09-08 02:21,0.220
2025-09-08 14:04,0.120
2025-09-09 05:47,0.250
2025-09-09 22:38,0.355
2025-09-11 12:17,1.480
2025-09-12 06:32,1.230
2025-09-12 20:54,0.985
2025-09-13 14:09,0.635
2025-09-14 02:35,1.435
2025-09-14 13:48,1.225
2025-09-15 03:07,1.025
2025-09-15 14:23,0.980
2025-09-16 02:12,1.185
2025-09-16 12:02,0.985
2025-09-17 00:16,0.735
2025-09-17 10:28,0.620
2025-09-17 23:44,0.835
2025-09-18 14:36,1.280
2025-09-19 05:20,0.980
2025-09-19 19:10,0.730
2025-09-20 09:17,0.520
2025-09-20 18:42,1.290
2025-09-21 05:59,0.975
2025-09-21 18:22,0.640
2025-09-22 09:47,0.585
2025-09-22 18:19,1.270
2025-09-23 05:54,0.830
2025-09-23 19:38,0.630
2025-09-24 07:34,0.480
2025-09-26 03:10,1.175
2025-09-26 18:53,1.280
2025-09-27 09:05,0.890
2025-09-28 05:22,0.970
2025-09-28 18:29,0.885
2025-09-29 11:46,0.830
2025-09-30 08:19,0.725
2025-10-01 15:34,0.715
2025-10-02 11:16,0.760
2025-10-02 21:54,0.760
2025-10-03 09:47,0.740
2025-10-04 06:34,0.720
2025-10-05 04:21,0.710
2025-10-07 07:59,1.030
2025-10-10 23:46,0.890
2025-10-12 09:49,0.895
2025-10-13 22:09,0.130
2025-10-14 23:12,0.720
2025-10-16 14:26,0.720
2025-10-18 12:01,0.715
2025-10-20 23:31,0.470
2025-10-28 18:26,0.710
2025-11-01 06:01,0.710
2025-11-08 08:34,0.710
2025-12-25 10:44,0.710
2025-12-31 01:29,0.710
2026-01-13 09:33,0.710
2026-02-21 08:05,0.710
2026-03-07 20:51,0.710
2026-03-21 07:14,0.710
2026-04-04 22:08,0.710
2026-04-13 12:58,0.710
2026-04-27 15:50,0.710
2026-07-08 10:15,0.710
2026-07-14 16:43,0.920
2026-07-28 19:18,0.920
